Date,Population,Infected,Deaths,Recovered
2020-01-07,46796540,0.0,0.0,0.0
2020-01-08,46796540,0.0,0.0,0.0
2020-01-09,46796540,0.0,0.0,0.0
2020-01-10,46796540,0.0,0.0,0.0
2020-01-11,46796540,0.0,0.0,0.0
2020-01-12,46796540,0.0,0.0,0.0
2020-01-13,46796540,0.0,0.0,0.0
2020-01-14,46796540,0.0,0.0,0.0
2020-01-15,46796540,0.0,0.0,0.0
2020-01-16,46796540,0.0,0.0,0.0
2020-01-17,46796540,0.0,0.0,0.0
2020-01-18,46796540,0.0,0.0,0.0
2020-01-19,46796540,0.0,0.0,0.0
2020-01-20,46796540,0.0,0.0,0.0
2020-01-21,46796540,0.0,0.0,0.0
2020-01-22,46796540,0.0,0.0,0.0
2020-01-23,46796540,0.0,0.0,0.0
2020-01-24,46796540,0.0,0.0,0.0
2020-01-25,46796540,0.0,0.0,0.0
2020-01-26,46796540,0.0,0.0,0.0
2020-01-27,46796540,0.0,0.0,0.0
2020-01-28,46796540,0.0,0.0,0.0
2020-01-29,46796540,0.0,0.0,0.0
2020-01-30,46796540,0.0,0.0,0.0
2020-01-31,46796540,0.0,0.0,0.0
2020-02-01,46796540,0.0,0.0,0.0
2020-02-02,46796540,0.0,0.0,0.0
2020-02-03,46796540,0.0,0.0,0.0
2020-02-04,46796540,0.0,0.0,0.0
2020-02-05,46796540,0.0,0.0,0.0
2020-02-06,46796540,0.0,0.0,0.0
2020-02-07,46796540,0.0,0.0,0.0
2020-02-08,46796540,0.0,0.0,0.0
2020-02-09,46796540,0.0,0.0,0.0
2020-02-10,46796540,0.0,0.0,0.0
2020-02-11,46796540,0.0,0.0,0.0
2020-02-12,46796540,0.0,0.0,0.0
2020-02-13,46796540,0.0,0.0,0.0
2020-02-14,46796540,0.0,0.0,0.0
2020-02-15,46796540,0.0,0.0,0.0
2020-02-16,46796540,0.0,0.0,0.0
2020-02-17,46796540,0.0,0.0,0.0
2020-02-18,46796540,0.0,0.0,0.0
2020-02-19,46796540,0.0,0.0,0.0
2020-02-20,46796540,0.0,0.0,0.0
2020-02-21,46796540,0.0,0.0,0.0
2020-02-22,46796540,0.0,0.0,0.0
2020-02-23,46796540,0.0,0.0,0.0
2020-02-24,46796540,0.0,0.0,0.0
2020-02-25,46796540,1.0,0.0,1.0
2020-02-26,46796540,2.0,0.0,2.0
2020-02-27,46796540,5.0,0.0,5.0
2020-02-28,46796540,8.0,0.0,8.0
2020-02-29,46796540,11.0,0.0,11.0
2020-03-01,46796540,16.0,0.0,16.0
2020-03-02,46796540,26.0,0.0,26.0
2020-03-03,46796540,38.0,0.0,38.0
2020-03-04,46796540,51.0,0.0,51.0
2020-03-05,46796540,75.0,0.0,75.0
2020-03-06,46796540,110.0,1.0,109.0
2020-03-07,46796540,149.0,1.0,148.0
2020-03-08,46796540,197.0,3.0,194.0
2020-03-09,46796540,279.0,5.0,274.0
2020-03-10,46796540,415.0,9.0,406.0
2020-03-11,46796540,593.0,14.0,579.0
2020-03-12,46796540,825.0,22.0,803.0
2020-03-13,46796540,1097.0,33.0,1064.0
2020-03-14,46796540,1346.0,48.0,1298.0
2020-03-15,46796540,1623.0,65.0,1558.0
2020-03-16,46796540,1996.0,89.0,1907.0
2020-03-17,46796540,2489.0,112.0,2377.0
2020-03-18,46796540,2980.0,142.0,2838.0
2020-03-19,46796540,3562.0,180.0,3382.0
2020-03-20,46796540,4184.0,230.0,3954.0
2020-03-21,46796540,4721.0,287.0,4434.0
2020-03-22,46796540,5152.0,347.0,4805.0
2020-03-23,46796540,5858.0,419.0,5439.0
2020-03-24,46796540,6607.0,495.0,6112.0
2020-03-25,46796540,7371.0,577.0,6794.0
2020-03-26,46796540,7976.0,656.0,7320.0
2020-03-27,46796540,8342.0,724.0,7618.0
2020-03-28,46796540,8528.0,771.0,7757.0
2020-03-29,46796540,8495.0,809.0,7686.0
2020-03-30,46796540,8467.0,841.0,7626.0
2020-03-31,46796540,8210.0,866.0,7344.0
2020-04-01,46796540,7771.0,876.0,6895.0
2020-04-02,46796540,7313.0,874.0,6439.0
2020-04-03,46796540,6988.0,857.0,6131.0
2020-04-04,46796540,6641.0,843.0,5798.0
2020-04-05,46796540,6363.0,834.0,5529.0
2020-04-06,46796540,5991.0,813.0,5178.0
2020-04-07,46796540,5619.0,790.0,4829.0
2020-04-08,46796540,5394.0,769.0,4625.0
2020-04-09,46796540,5066.0,742.0,4324.0
2020-04-10,46796540,4725.0,726.0,3999.0
2020-04-11,46796540,4497.0,710.0,3787.0
2020-04-12,46796540,4388.0,680.0,3708.0
2020-04-13,46796540,4063.0,655.0,3408.0
2020-04-14,46796540,3874.0,636.0,3238.0
2020-04-15,46796540,3618.0,608.0,3010.0
2020-04-16,46796540,3448.0,583.0,2865.0
2020-04-17,46796540,3308.0,558.0,2750.0
2020-04-18,46796540,3180.0,531.0,2649.0
2020-04-19,46796540,3047.0,510.0,2537.0
2020-04-20,46796540,2960.0,482.0,2478.0
2020-04-21,46796540,2779.0,456.0,2323.0
2020-04-22,46796540,2645.0,426.0,2219.0
2020-04-23,46796540,2475.0,404.0,2071.0
2020-04-24,46796540,2307.0,379.0,1928.0
2020-04-25,46796540,2180.0,359.0,1821.0
2020-04-26,46796540,2090.0,340.0,1750.0
2020-04-27,46796540,1967.0,322.0,1645.0
2020-04-28,46796540,1825.0,298.0,1527.0
2020-04-29,46796540,1641.0,283.0,1358.0
2020-04-30,46796540,1529.0,267.0,1262.0
2020-05-01,46796540,1316.0,245.0,1071.0
2020-05-02,46796540,1213.0,232.0,981.0
2020-05-03,46796540,1160.0,221.0,939.0
2020-05-04,46796540,1069.0,211.0,858.0
2020-05-05,46796540,961.0,200.0,761.0
2020-05-06,46796540,889.0,188.0,701.0
2020-05-07,46796540,820.0,180.0,640.0
2020-05-08,46796540,838.0,176.0,662.0
2020-05-09,46796540,827.0,165.0,662.0
2020-05-10,46796540,808.0,152.0,656.0
2020-05-11,46796540,834.0,143.0,691.0
2020-05-12,46796540,798.0,133.0,665.0
2020-05-13,46796540,773.0,124.0,649.0
2020-05-14,46796540,749.0,112.0,637.0
2020-05-15,46796540,732.0,103.0,629.0
2020-05-16,46796540,712.0,94.0,618.0
2020-05-17,46796540,702.0,87.0,615.0
2020-05-18,46796540,621.0,80.0,541.0
2020-05-19,46796540,639.0,73.0,566.0
2020-05-20,46796540,631.0,69.0,562.0
2020-05-21,46796540,630.0,67.0,563.0
2020-05-22,46796540,633.0,66.0,567.0
2020-05-23,46796540,628.0,65.0,563.0
2020-05-24,46796540,631.0,64.0,567.0
2020-05-25,46796540,619.0,64.0,555.0
2020-05-26,46796540,603.0,62.0,541.0
2020-05-27,46796540,585.0,60.0,525.0
2020-05-28,46796540,567.0,56.0,511.0
2020-05-29,46796540,555.0,53.0,502.0
2020-05-30,46796540,558.0,50.0,508.0
2020-05-31,46796540,547.0,48.0,499.0
2020-06-01,46796540,520.0,43.0,477.0
2020-06-02,46796540,482.0,42.0,440.0
2020-06-03,46796540,480.0,41.0,439.0
2020-06-04,46796540,460.0,42.0,418.0
2020-06-05,46796540,448.0,39.0,409.0
2020-06-06,46796540,439.0,37.0,402.0
2020-06-07,46796540,433.0,34.0,399.0
2020-06-08,46796540,431.0,34.0,397.0
2020-06-09,46796540,427.0,29.0,398.0
2020-06-10,46796540,407.0,28.0,379.0
