Date,Population,Infected,Deaths,Recovered
2020-03-02,46796540,26.0,0.0,0.0
2020-03-03,46796540,38.0,0.0,0.0
2020-03-04,46796540,51.0,0.0,0.0
2020-03-05,46796540,75.0,0.0,0.0
2020-03-06,46796540,110.0,1.0,1.0
2020-03-07,46796540,149.0,1.0,2.0
2020-03-08,46796540,197.0,3.0,5.0
2020-03-09,46796540,279.0,5.0,8.0
2020-03-10,46796540,415.0,9.0,11.0
2020-03-11,46796540,593.0,14.0,16.0
2020-03-12,46796540,825.0,22.0,26.0
2020-03-13,46796540,1097.0,33.0,38.0
2020-03-14,46796540,1346.0,48.0,51.0
2020-03-15,46796540,1623.0,65.0,75.0
2020-03-16,46796540,1996.0,89.0,109.0
2020-03-17,46796540,2489.0,112.0,148.0
2020-03-18,46796540,2980.0,142.0,194.0
2020-03-19,46796540,3562.0,180.0,274.0
2020-03-20,46796540,4183.0,230.0,406.0
2020-03-21,46796540,4720.0,287.0,579.0
2020-03-22,46796540,5151.0,347.0,803.0
2020-03-23,46796540,5858.0,419.0,1064.0
2020-03-24,46796540,6607.0,495.0,1298.0
2020-03-25,46796540,7371.0,577.0,1558.0
2020-03-26,46796540,7976.0,656.0,1907.0
2020-03-27,46796540,8343.0,724.0,2377.0
2020-03-28,46796540,8530.0,771.0,2838.0
2020-03-29,46796540,8497.0,809.0,3382.0
2020-03-30,46796540,8469.0,841.0,3953.0
2020-03-31,46796540,8211.0,866.0,4433.0
2020-04-01,46796540,7772.0,876.0,4804.0
2020-04-02,46796540,7314.0,874.0,5439.0
2020-04-03,46796540,6988.0,857.0,6112.0
2020-04-04,46796540,6641.0,843.0,6794.0
2020-04-05,46796540,6363.0,834.0,7320.0
2020-04-06,46796540,5990.0,813.0,7619.0
2020-04-07,46796540,5618.0,790.0,7759.0
2020-04-08,46796540,5393.0,769.0,7688.0
2020-04-09,46796540,5065.0,742.0,7628.0
2020-04-10,46796540,4725.0,726.0,7345.0
2020-04-11,46796540,4497.0,710.0,6896.0
2020-04-12,46796540,4387.0,680.0,6440.0
2020-04-13,46796540,4063.0,655.0,6131.0
2020-04-14,46796540,3873.0,636.0,5798.0
2020-04-15,46796540,3618.0,608.0,5529.0
2020-04-16,46796540,3448.0,583.0,5177.0
2020-04-17,46796540,3308.0,558.0,4828.0
2020-04-18,46796540,3180.0,531.0,4624.0
2020-04-19,46796540,3047.0,510.0,4323.0
2020-04-20,46796540,2960.0,482.0,3999.0
2020-04-21,46796540,2779.0,456.0,3787.0
2020-04-22,46796540,2645.0,426.0,3707.0
2020-04-23,46796540,2475.0,404.0,3408.0
2020-04-24,46796540,2307.0,379.0,3237.0
2020-04-25,46796540,2179.0,359.0,3010.0
2020-04-26,46796540,2090.0,340.0,2865.0
2020-04-27,46796540,1966.0,322.0,2750.0
2020-04-28,46796540,1825.0,298.0,2649.0
2020-04-29,46796540,1641.0,283.0,2537.0
2020-04-30,46796540,1529.0,267.0,2478.0
2020-05-01,46796540,1316.0,245.0,2323.0
2020-05-02,46796540,1213.0,232.0,2219.0
2020-05-03,46796540,1160.0,221.0,2071.0
2020-05-04,46796540,1068.0,211.0,1928.0
2020-05-05,46796540,960.0,200.0,1820.0
2020-05-06,46796540,889.0,188.0,1750.0
2020-05-07,46796540,820.0,180.0,1644.0
2020-05-08,46796540,838.0,176.0,1527.0
2020-05-09,46796540,827.0,165.0,1358.0
2020-05-10,46796540,808.0,152.0,1262.0
2020-05-11,46796540,858.0,143.0,1071.0
