Date,Population,Infected,Deaths,Recovered
2020-03-02,46796540,72,0,1
2020-03-03,46796540,85,1,1
2020-03-04,46796540,99,2,2
2020-03-05,46796540,190,1,2
2020-03-06,46796540,274,3,1
2020-03-07,46796540,290,3,7
2020-03-08,46796540,369,14,23
2020-03-09,46796540,651,17,23
2020-03-10,46796540,1036,28,19
2020-03-11,46796540,1346,35,37
2020-03-12,46796540,1811,59,72
2020-03-13,46796540,2179,79,84
2020-03-14,46796540,2032,108,97
2020-03-15,46796540,2310,131,189
2020-03-16,46796540,3264,183,271
2020-03-17,46796540,4483,191,287
2020-03-18,46796540,4786,246,355
2020-03-19,46796540,5880,322,634
2020-03-20,46796540,6530,433,1008
2020-03-21,46796540,5793,506,1311
2020-03-22,46796540,5327,551,1752
2020-03-23,46796540,8208,686,2100
2020-03-24,46796540,9726,723,1924
2020-03-25,46796540,10139,824,2179
2020-03-26,46796540,10115,871,3081
2020-03-27,46796540,9098,909,4292
2020-03-28,46796540,7102,839,4540
2020-03-29,46796540,5095,811,5558
2020-03-30,46796540,8008,913,6097
2020-03-31,46796540,7926,899,5287
2020-04-01,46796540,7063,895,4776
2020-04-02,46796540,6907,858,7522
2020-04-03,46796540,6821,786,9003
2020-04-04,46796540,4672,740,9315
2020-04-05,46796540,3146,750,9244
2020-04-06,46796540,5398,766,8189
2020-04-07,46796540,5323,736,6263
2020-04-08,46796540,5487,749,4284
2020-04-09,46796540,4612,667,7095
2020-04-10,46796540,4441,676,7027
2020-04-11,46796540,3075,628,6168
2020-04-12,46796540,2379,544,6049
2020-04-13,46796540,3127,587,6035
2020-04-14,46796540,3995,607,3932
2020-04-15,46796540,3703,552,2396
2020-04-16,46796540,3417,487,4632
2020-04-17,46796540,3462,507,4587
2020-04-18,46796540,2182,435,4738
2020-04-19,46796540,1445,401,3945
2020-04-20,46796540,2519,387,3765
2020-04-21,46796540,2729,427,2447
2020-04-22,46796540,2767,344,1835
2020-04-23,46796540,2223,331,2540
2020-04-24,46796540,2285,330,3388
2020-04-25,46796540,1290,295,3151
2020-04-26,46796540,821,272,2930
2020-04-27,46796540,1653,258,2955
2020-04-28,46796540,1737,259,1747
2020-04-29,46796540,1484,236,1044
2020-04-30,46796540,1438,223,2132
2020-05-01,46796540,793,176,2302
2020-05-02,46796540,566,202,2423
2020-05-03,46796540,451,197,1892
2020-05-04,46796540,1012,186,1955
2020-05-05,46796540,981,183,995
2020-05-06,46796540,984,153,549
2020-05-07,46796540,955,166,1395
2020-05-08,46796540,918,146,1478
2020-05-09,46796540,491,125,1248
2020-05-10,46796540,316,110,1215
2020-05-11,46796540,1363,122,617
2020-05-12,46796540,736,114,364
2020-05-13,46796540,806,87,254
2020-05-14,46796540,787,87,826
2020-05-15,46796540,798,77,798
2020-05-16,46796540,346,63,831
2020-05-17,46796540,244,61,789
2020-05-18,46796540,633,72,772
2020-05-19,46796540,856,70,366
2020-05-20,46796540,751,57,206
2020-05-21,46796540,778,69,1241
2020-05-22,46796540,822,71,622
2020-05-23,46796540,312,60,719
2020-05-24,46796540,260,55,700
2020-05-25,46796540,551,68,721
2020-05-26,46796540,734,54,283
2020-05-27,46796540,619,46,183
2020-05-28,46796540,661,44,561
2020-05-29,46796540,735,45,786
2020-05-30,46796540,338,43,694
2020-05-31,46796540,182,40,709
2020-06-01,46796540,361,34,751
2020-06-02,46796540,476,47,252
2020-06-03,46796540,606,39,205
2020-06-04,46796540,519,47,483
2020-06-05,46796540,653,24,680
2020-06-06,46796540,275,29,573
2020-06-07,46796540,143,21,617
2020-06-08,46796540,348,30,690
2020-06-09,46796540,451,14,295
2020-06-10,46796540,463,31,142
2020-06-11,46796540,384,25,327
2020-06-12,46796540,495,20,429
2020-06-13,46796540,124,23,567
2020-06-14,46796540,88,20,472
2020-06-15,46796540,301,20,629
2020-06-16,46796540,401,11,246
2020-06-17,46796540,363,26,122
2020-06-18,46796540,392,12,318
2020-06-19,46796540,354,17,437
2020-06-20,46796540,231,14,432
2020-06-21,46796540,168,15,359
2020-06-22,46796540,252,7,475
2020-06-23,46796540,454,8,101
2020-06-24,46796540,352,12,68
2020-06-25,46796540,376,12,281
2020-06-26,46796540,485,8,390
2020-06-27,46796540,261,2,337
2020-06-28,46796540,191,11,380
2020-06-29,46796540,284,11,337
2020-06-30,46796540,456,11,217
2020-07-01,46796540,460,10,153
2020-07-02,46796540,496,1,245
2020-07-03,46796540,601,5,446
2020-07-04,46796540,306,7,340
2020-07-05,46796540,210,2,364
2020-07-06,46796540,346,3,477
2020-07-07,46796540,723,6,259
2020-07-08,46796540,763,5,180
2020-07-09,46796540,866,1,273
2020-07-10,46796540,1171,5,445
2020-07-11,46796540,623,7,450
2020-07-12,46796540,396,2,495
2020-07-13,46796540,891,2,596
2020-07-14,46796540,1326,4,299
2020-07-15,46796540,1598,5,208
2020-07-16,46796540,1649,2,343
2020-07-17,46796540,2141,3,717
2020-07-18,46796540,1568,3,758
2020-07-19,46796540,1168,6,865
2020-07-20,46796540,1631,8,1166
2020-07-21,46796540,2365,8,616
2020-07-22,46796540,2378,4,394
2020-07-23,46796540,2394,4,889
2020-07-24,46796540,2866,8,1322
2020-07-25,46796540,1725,11,1593
2020-07-26,46796540,1394,7,1647
2020-07-27,46796540,2064,10,2138
2020-07-28,46796540,2962,13,1565
2020-07-29,46796540,3227,11,1162
2020-07-30,46796540,3511,11,1623
2020-07-31,46796540,3914,17,2357
2020-08-01,46796540,3054,13,2374
2020-08-02,46796540,1841,14,2390
2020-08-03,46796540,2790,11,2858
2020-08-04,46796540,4439,20,1714
2020-08-05,46796540,4328,13,1387
2020-08-06,46796540,4896,31,2054
2020-08-07,46796540,5746,23,2949
2020-08-08,46796540,3540,35,3216
2020-08-09,46796540,2635,19,3500
2020-08-10,46796540,3937,32,3897
2020-08-11,46796540,6199,31,3041
2020-08-12,46796540,6456,31,1827
2020-08-13,46796540,7100,26,2779
2020-08-14,46796540,8422,37,4419
2020-08-15,46796540,4844,28,4315
2020-08-16,46796540,3301,23,4865
2020-08-17,46796540,5008,31,5723
2020-08-18,46796540,8551,46,3505
2020-08-19,46796540,8703,47,2616
2020-08-20,46796540,9050,42,3905
2020-08-21,46796540,10525,44,6168
2020-08-22,46796540,6068,46,6425
2020-08-23,46796540,4294,55,7074
2020-08-24,46796540,6062,58,8385
2020-08-25,46796540,10347,45,4816
2020-08-26,46796540,10343,53,3278
2020-08-27,46796540,10356,51,4977
2020-08-28,46796540,11994,77,8505
2020-08-29,46796540,6900,53,8656
2020-08-30,46796540,5204,58,9008
2020-08-31,46796540,6667,67,10481
2020-09-01,46796540,10513,68,6022
2020-09-02,46796540,10730,79,4239
2020-09-03,46796540,10996,82,6004
2020-09-04,46796540,13206,85,10302
2020-09-05,46796540,7891,70,10290
2020-09-06,46796540,5499,64,10305
2020-09-07,46796540,7054,82,11917
